"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","new_flow"
"1",1,2,1,2,1,80.5996440424632,0.000153933715611779,3.51331816515228,0.0351910467838081,-1.45356781456094,"A",37.2717344549444
"2",3,1,1,1,3,80.5996440424632,0.000153933715611779,3.51331816515228,0.0351910467838081,-1.45356781456094,"A",37.2717344549444
"3",2,1,1,2,3,80.9835723877909,0.000152477631989581,3.52410023977076,0.0361407936631082,-1.442002314428,"A",37.3386051441988
"4",1,1,1,1,3,53.5838518329955,0.000348282891494628,4.77100387652734,0.0654175713895668,-1.18430558298218,"A",36.224185371522
"5",4,1,2,1,2,74.6863024344192,0.000179274319276696,3.16997598854183,0.0885595506443906,-1.05276459575576,"A",35.6678087836834
"6",4,1,2,1,2,66.0223205919954,0.000229413214276574,4.00026725037521,0.167373186997484,-0.776314114274201,"A",36.4750472861594
"7",2,1,1,3,1,103.349421780777,9.36232898087219e-05,0.994454324011857,0.224663710215872,-0.64846707322313,"A",35.32691976497
"8",2,1,1,1,2,51.73572453075,0.000373610375907058,6.83723940361551,0.241067135841071,-0.617861992010417,"A",49.5426558808089
"9",2,1,1,1,3,78.2828297223066,0.000163180014810489,2.80446159110001,0.258485432727717,-0.587563927093188,"A",35.440562362822
"10",1,2,1,3,3,99.0161904341607,0.000101997041193782,0.465993127048149,0.298177309165922,-0.525525408766916,"A",36.7548711862326
"11",3,1,1,2,2,99.0161904341607,0.000101997041193782,0.465993127048149,0.298177309165922,-0.525525408766916,"A",36.7548711862326
"12",1,2,1,3,2,51.0131209800051,0.000384269761732536,6.88213816309754,0.312979909085378,-0.504483539940458,"A",49.6622995099753
"13",3,1,1,1,2,51.0131209800051,0.000384269761732536,6.88213816309754,0.312979909085378,-0.504483539940458,"A",49.6622995099753
"14",4,1,2,3,3,37.9875413146299,0.000692975098961552,6.22976915654035,0.318015306103042,-0.497551976883117,"A",38.8002985990414
"15",1,2,2,2,3,69.3579301927453,0.000207877627436169,4.12327662228521,0.324896790991978,-0.488254578163663,"A",37.6593246070486
"16",2,1,2,3,3,69.3579301927453,0.000207877627436169,4.12327662228521,0.324896790991978,-0.488254578163663,"A",37.6593246070486
"17",3,1,2,2,1,69.3579301927453,0.000207877627436169,4.12327662228521,0.324896790991978,-0.488254578163663,"A",37.6593246070486
"18",2,1,1,2,2,99.187616450115,0.000101644782768494,0.45081491865463,0.368811984830998,-0.433194974653661,"A",36.7781457737694
"19",2,1,1,1,1,94.3658238558433,0.000112297613860243,1.55132050513553,0.386400737294636,-0.412962053574643,"A",35.4331026183489
"20",2,1,1,2,3,74.9341837956778,0.000178090206536333,3.96232957118307,0.445174848214577,-0.351469380703432,"A",38.0280390351205
"21",4,1,2,3,3,79.1070190979535,0.000159797492586204,2.99890675114468,0.546315161992595,-0.262556746257624,"A",35.8830720911705
"22",2,1,1,1,1,79.6600430847516,0.000157586469567718,1.37715639895476,0.548771719171128,-0.260608277994449,"A",35.0136538991389
"23",2,1,1,1,2,77.6144855135482,0.000166002425625046,4.04176445033222,0.60072479013003,-0.221324445637912,"A",38.6847693387547
"24",1,2,1,3,2,78.1667290715874,0.000163665115717563,3.87357924051648,0.64107718327503,-0.193089679915656,"A",38.1457604019281
"25",3,1,1,1,3,78.1667290715874,0.000163665115717563,3.87357924051648,0.64107718327503,-0.193089679915656,"A",38.1457604019281
"26",2,1,1,1,3,78.571146926133,0.000161984632364908,3.88513298287692,0.710994761136249,-0.148133599295551,"A",38.2329797754251
"27",2,1,1,1,1,87.8976745729309,0.00012943306307079,1.76732860998933,0.742098605488444,-0.129538384513011,"A",35.3728236482886
"28",2,1,1,1,3,77.6458711742507,0.000165868251258088,3.77698878459237,0.835396189730247,-0.0781075098979291,"A",37.7567515854745
"29",2,1,1,2,3,100.57219138534,9.88653649162054e-05,0.875737908146802,0.842609922985964,-0.0743734307151374,"A",35.7974702916283
"30",1,2,1,3,2,77.2143315922078,0.000167727458890084,3.78019130161254,0.908554472944139,-0.0416490291816547,"A",37.7132372471372
"31",3,1,1,1,3,77.2143315922078,0.000167727458890084,3.78019130161254,0.908554472944139,-0.0416490291816547,"A",37.7132372471372
"32",2,1,1,2,2,92.8531086468189,0.000115986409280448,1.58900956372684,0.988795220065292,-0.00489364167302344,"A",35.4522796332366
