"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","flow_1","flow_2","new_flow"
"2669",1,2,2,1,2,49.002046055737,0.000416458347668221,5.38494637694611,27.1008393886927,1.43298274239588,"C",50.4711048282345,19.1976190757928,34.8343619520137
"2670",2,1,2,1,3,49.002046055737,0.000416458347668221,5.38494637694611,27.1008393886927,1.43298274239588,"C",50.4711048282345,19.1976190757928,34.8343619520137
"2671",3,1,2,1,2,49.002046055737,0.000416458347668221,5.38494637694611,27.1008393886927,1.43298274239588,"C",50.4711048282345,19.1976190757928,34.8343619520137
"2672",3,2,1,3,1,88.305497120604,0.000128240298572014,3.41055642017235,27.1032228319655,1.43302093570537,"C",56.2457474061481,50.2046054338978,53.2251764200229
"2673",3,2,1,1,3,98.5657945038786,0.000102931320912763,1.49529911918816,27.1041261029333,1.4330354092262,"C",52.6678491840872,38.1922721356819,45.4300606598846
"2674",1,2,1,2,3,108.023158274098,8.56971262835675e-05,0.920052851850361,27.1050277895421,1.43304985687906,"C",47.5051733415207,26.4898869707752,36.9975301561479
"2675",3,1,1,2,3,108.023158274098,8.56971262835675e-05,0.920052851850361,27.1050277895421,1.43304985687906,"C",47.5051733415207,26.4898869707752,36.9975301561479
"2676",1,1,1,2,1,76.8791018788226,0.000169193392165014,2.61576780298117,27.1072752885843,1.43308586628568,"C",57.7522717988665,50.2512848483419,54.0017783236042
"2677",4,2,1,3,2,69.3446371206404,0.000207957333589804,3.97886263700642,27.1092079025675,1.43311682821974,"C",57.3170614494404,45.7944254863121,51.5557434678763
"2678",4,1,1,1,3,67.6133078526175,0.000218743739886315,4.15096277950612,27.1114002871723,1.43315194920302,"C",57.0566339482503,43.7389450932378,50.397789520744
"2679",2,1,2,1,2,46.6724621607517,0.00045906964344333,4.67223467647438,27.1125343940914,1.43317011595465,"C",49.1589552428746,35.4710173262836,42.3149862845791
"2680",2,1,1,3,1,71.3230935464672,0.000196580147347469,4.45478869481568,27.1129752976586,1.4331771783866,"C",57.541265460249,39.2932136544496,48.4172395573493
"2681",3,2,2,3,2,73.754921439206,0.000183830678650946,3.83597190991602,27.1133056018022,1.43318246915206,"C",57.7095962225586,47.2467404288396,52.4781683256991
"2682",1,1,1,1,2,85.030275585837,0.000138309759680764,2.22700969541172,27.1168968205105,1.43323998863017,"C",56.9445412284384,47.6744767105078,52.3095089694731
"2683",2,1,1,2,3,107.810161830115,8.60360778983005e-05,1.01774372816293,27.1196019791611,1.43328331131883,"C",47.641136043419,28.7408263466434,38.1909811950312
"2684",4,1,1,1,2,90.792694544139,0.00012131044321481,1.99467246876639,27.1223922856009,1.43332799310854,"C",55.571761881238,45.3191590576211,50.4454604694295
"2685",4,2,1,2,3,40.0431929586447,0.000623652403185977,6.05721276583632,27.1263655432255,1.43339160982287,"C",44.8310802739074,-1.41285776117269,21.7091112563674
"2686",4,2,2,3,1,54.4643735771179,0.00033711259144462,5.00688094509829,27.1265302602656,1.43339424694299,"C",53.1221679457406,28.5448424129967,40.8335051793687
"2687",4,1,2,2,2,72.1556441078163,0.000192069932756658,3.72621458876668,27.1290587178661,1.43343472554455,"C",57.6122092777423,48.2056192094918,52.9089142436171
"2688",1,2,1,1,3,98.2010030971999,0.000103697467929329,0.488444927256102,27.1317839164781,1.43347834958955,"C",52.8311546147812,15.2542748520984,34.0427147334398
"2689",3,1,1,3,1,98.2010030971999,0.000103697467929329,0.488444927256102,27.1317839164781,1.43347834958955,"C",52.8311546147812,15.2542748520984,34.0427147334398
"2690",4,1,1,3,2,76.8227270245916,0.000169441801793773,3.20513325271418,27.1367636224726,1.43355805169838,"C",57.7532312024301,50.9007119625089,54.3269715824695
"2691",2,1,1,1,1,66.7601670769348,0.00022437019749302,3.59636677006081,27.140078395968,1.43361109781477,"C",56.9062548755384,49.1642317262604,53.0352433008994
"2692",4,1,1,1,3,83.9088385052624,0.000142031469705247,2.56952247804787,27.1410843997858,1.4336271955505,"C",57.1345027349768,50.0342504555052,53.584376595241
"2693",4,1,1,1,1,66.1654370511923,0.000228421841754976,3.79011827347918,27.1457538594587,1.43370190686689,"C",56.7928137160594,47.6638897382288,52.2283517271441
"2694",2,1,1,2,1,98.0991877580895,0.000103912831013909,0.46877462224057,27.1463021516879,1.43371067869493,"C",52.8762590043271,14.6920639074761,33.7841614559016
"2695",4,1,1,1,2,96.3069889023168,0.000107816291816649,2.0453535352725,27.1476067167633,1.4337315490071,"C",53.6362620172118,45.8849550378901,49.7606085275509
"2696",4,1,1,3,1,72.4073248792226,0.000190737020766593,3.76237508897392,27.1511697513156,1.43378854499661,"C",57.6309268547655,47.9047446219805,52.767835738373
"2697",4,1,1,1,3,85.2733894423821,0.000137522243506201,2.21576985426142,27.1528980418773,1.43381618885774,"C",56.9000424824992,47.5745736804924,52.2373080814958
"2698",4,1,1,3,3,66.2550957977839,0.000227804042968716,3.78499841039177,27.1544225453287,1.43384057170078,"C",56.8103684208963,47.7089927075408,52.2596805642185
"2699",2,1,1,2,1,90.9828304602314,0.000120803943889078,2.28301663681145,27.1583113453323,1.43390276280274,"C",55.5151479139996,48.1510034388592,51.8330756764294
"2700",4,1,2,1,1,68.4946302584149,0.000213150791030592,3.74636306455219,27.1599408298352,1.43392881946325,"C",57.196694250421,48.039795969488,52.6182451099545
"2701",4,1,2,2,1,69.9379493415696,0.000204443925726788,3.52725390543551,27.1610218063646,1.4339461042137,"C",57.3925154181462,49.5967716049862,53.4946435115662
"2702",4,2,1,2,1,106.152152032654,8.87446935041052e-05,0.889015362617783,27.1626460805961,1.43397207496875,"C",48.6684772779972,25.7521641957955,37.2103207368964
"2703",4,1,2,2,2,74.153956079368,0.000181857555558779,3.56920060864543,27.1667844524791,1.43403823697556,"C",57.725921218431,49.3406883239929,53.533304771212
"2704",4,2,1,2,1,91.551820524382,0.000119307028869748,1.76579542100711,27.1774562665534,1.43420880555698,"C",55.3414087837741,42.402497261031,48.8719530224026
"2705",1,2,1,1,1,81.041428597664,0.000152259999377314,2.66946580836246,27.1788722035444,1.43423143157457,"C",57.5058399769465,50.4729733098483,53.9894066433974
"2706",3,1,1,2,1,81.041428597664,0.000152259999377314,2.66946580836246,27.1788722035444,1.43423143157457,"C",57.5058399769465,50.4729733098483,53.9894066433974
"2707",1,1,1,3,1,79.2301664970754,0.000159301132343277,2.71393698926056,27.1919436217668,1.4344402511344,"C",57.6556602440117,50.6319032684932,54.1437817562525
"2708",2,1,1,3,1,81.1338460704919,0.000151913326051599,2.63200644020924,27.1932919642145,1.4344617855703,"C",57.496436245245,50.3217617603506,53.9090990027978
"2709",4,1,1,3,1,54.1806011063865,0.000340653112982389,5.10477757048807,27.2064977673048,1.43467263960309,"C",52.9991383192138,26.2794292713963,39.6392837953051
"2710",3,2,1,3,2,95.2320124458242,0.000110264084534146,2.29519899058977,27.2113402526536,1.43474993281236,"C",54.0612969728366,48.249961693962,51.1556293333993
"2711",3,2,1,2,2,70.2802624325182,0.000202457211531684,4.93873514557538,27.2236806623975,1.43494684178229,"C",57.4328460215914,30.0578652626079,43.7453556420996
"2712",2,1,2,3,3,51.2304774418716,0.000381015982473864,4.67894823325575,27.2362257412198,1.43514692507158,"C",51.6247075224237,35.3445058307608,43.4846066765923
"2713",4,1,1,1,1,79.0731104884341,0.000159934572626285,2.97204593911495,27.2408991379097,1.43522143819626,"C",57.6655599192588,51.1130690577325,54.3893144884956
"2714",4,2,1,3,1,54.871433529106,0.000332129450700647,4.9066208000307,27.245617411469,1.43529665387551,"C",53.2958367888501,30.7526996276329,42.0242682082415
"2715",4,1,1,2,2,79.2815657933196,0.000159094645202726,3.09186789035963,27.2466773293216,1.4353135486118,"C",57.6523132594411,51.0805837527053,54.3664485060732
