"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","log_Speed","log_Density","inv_Speed","inv_Density","sq_Speed","sq_Density","New_Flow"
"1",1,2,1,2,1,80.5996440424632,0.000153933715611779,3.51331816515228,0.0351910467838081,-1.45356781456094,"A",4.38949423315622,1.2565609371167,0.0124070026844431,0.284631209868423,6496.30261977177,12.343404529589,37.0068162972614
"2",3,1,1,1,3,80.5996440424632,0.000153933715611779,3.51331816515228,0.0351910467838081,-1.45356781456094,"A",4.38949423315622,1.2565609371167,0.0124070026844431,0.284631209868423,6496.30261977177,12.343404529589,37.0068162972614
"3",2,1,1,2,3,80.9835723877909,0.000152477631989581,3.52410023977076,0.0361407936631082,-1.442002314428,"A",4.39424632407643,1.25962515255326,0.0123481833477472,0.283760373418053,6558.33899668857,12.4192824999523,37.04438195675
"4",1,1,1,1,3,53.5838518329955,0.000348282891494628,4.77100387652734,0.0654175713895668,-1.18430558298218,"A",3.98124775091283,1.56255673905247,0.0186623388538154,0.209599494337001,2871.22917726042,22.7624779898389,34.2162198957988
"5",4,1,2,1,2,74.6863024344192,0.000179274319276696,3.16997598854183,0.0885595506443906,-1.05276459575576,"A",4.31329670764641,1.15372401326802,0.013389336028224,0.315459802728662,5578.04377132553,10.0487477679318,35.8470427481568
"6",4,1,2,1,2,66.0223205919954,0.000229413214276574,4.00026725037521,0.167373186997484,-0.776314114274201,"A",4.18999287564062,1.38636117148183,0.0151463927810081,0.249983297967455,4358.94681635222,16.0021380744244,36.8022551246853
"7",2,1,1,3,1,103.349421780777,9.36232898087219e-05,0.994454324011857,0.224663710215872,-0.64846707322313,"A",4.63811569134461,-0.00556111033827823,0.00967591286694552,1.00557660201604,10681.1029824209,0.988939402545879,35.6610747769763
"8",2,1,1,1,2,51.73572453075,0.000373610375907058,6.83723940361551,0.241067135841071,-0.617861992010417,"A",3.94614853961237,1.92238405420504,0.0193290034897575,0.146257859490952,2676.58519272165,46.7478426623526,50.1494399782577
"9",2,1,1,1,3,78.2828297223066,0.000163180014810489,2.80446159110001,0.258485432727717,-0.587563927093188,"A",4.36032829060098,1.03121157441874,0.012774193313493,0.356574681990123,6128.20142933165,7.8650048159552,35.4854965471358
"10",1,2,1,3,3,99.0161904341607,0.000101997041193782,0.465993127048149,0.298177309165922,-0.525525408766916,"A",4.59528337650242,-0.763584393788971,0.0100993584545644,2.14595439708422,9804.20596809398,0.217149594456112,35.8784783535329
"11",3,1,1,2,2,99.0161904341607,0.000101997041193782,0.465993127048149,0.298177309165922,-0.525525408766916,"A",4.59528337650242,-0.763584393788971,0.0100993584545644,2.14595439708422,9804.20596809398,0.217149594456112,35.8784783535329
"12",1,2,1,3,2,51.0131209800051,0.000384269761732536,6.88213816309754,0.312979909085378,-0.504483539940458,"A",3.93208287375276,1.92892938318329,0.0196027998442196,0.145303679801441,2602.33851212064,47.3638256959636,49.9683950053596
"13",3,1,1,1,2,51.0131209800051,0.000384269761732536,6.88213816309754,0.312979909085378,-0.504483539940458,"A",3.93208287375276,1.92892938318329,0.0196027998442196,0.145303679801441,2602.33851212064,47.3638256959636,49.9683950053596
"14",4,1,2,3,3,37.9875413146299,0.000692975098961552,6.22976915654035,0.318015306103042,-0.497551976883117,"A",3.63725824582718,1.82933927858804,0.0263244202018117,0.160519591476379,1443.05329513071,38.8100237437815,23.1129927646144
"15",1,2,2,2,3,69.3579301927453,0.000207877627436169,4.12327662228521,0.324896790991978,-0.488254578163663,"A",4.23928049051527,1.41664814395178,0.0144179619723513,0.242525566825972,4810.52248062173,17.0014101038837,38.1113740003622
"16",2,1,2,3,3,69.3579301927453,0.000207877627436169,4.12327662228521,0.324896790991978,-0.488254578163663,"A",4.23928049051527,1.41664814395178,0.0144179619723513,0.242525566825972,4810.52248062173,17.0014101038837,38.1113740003622
"17",3,1,2,2,1,69.3579301927453,0.000207877627436169,4.12327662228521,0.324896790991978,-0.488254578163663,"A",4.23928049051527,1.41664814395178,0.0144179619723513,0.242525566825972,4810.52248062173,17.0014101038837,38.1113740003622
"18",2,1,1,2,2,99.187616450115,0.000101644782768494,0.45081491865463,0.368811984830998,-0.433194974653661,"A",4.59701317232617,-0.796698403631559,0.0100819037273966,2.2182052071043,9838.18325705512,0.203234090881581,35.8500329588489
"19",2,1,1,1,1,94.3658238558433,0.000112297613860243,1.55132050513553,0.386400737294636,-0.412962053574643,"A",4.54717897217542,0.439106507034395,0.0105970568489672,0.64461212024825,8904.90871199204,2.40659530965396,35.2375143820323
"20",2,1,1,2,3,74.9341837956778,0.000178090206536333,3.96232957118307,0.445174848214577,-0.351469380703432,"A",4.31661017887347,1.37683212785144,0.0133450442688038,0.252376785432672,5615.13190112442,15.7000556306718,38.2326254124082
"21",4,1,2,3,3,79.1070190979535,0.000159797492586204,2.99890675114468,0.546315161992595,-0.262556746257624,"A",4.37080160785256,1.09824780596725,0.0126411032978219,0.333454849710916,6257.92047056398,8.99344170206114,35.8030761410754
"22",2,1,1,1,1,79.6600430847516,0.000157586469567718,1.37715639895476,0.548771719171128,-0.260608277994449,"A",4.37776811861139,0.320020792784699,0.0125533449553383,0.726133938570074,6345.72246426448,1.89655974718204,35.6736226969251
"23",2,1,1,1,2,77.6144855135482,0.000166002425625046,4.04176445033222,0.60072479013003,-0.221324445637912,"A",4.35175407875771,1.3966813417594,0.012884192858889,0.247416694438441,6024.00836153278,16.3358598719693,38.7403188830507
"24",1,2,1,3,2,78.1667290715874,0.000163665115717563,3.87357924051648,0.64107718327503,-0.193089679915656,"A",4.3588440975751,1.35417894796499,0.0127931667587647,0.258159169571207,6110.03753375095,15.0046161325602,38.1103205197457
"25",3,1,1,1,3,78.1667290715874,0.000163665115717563,3.87357924051648,0.64107718327503,-0.193089679915656,"A",4.3588440975751,1.35417894796499,0.0127931667587647,0.258159169571207,6110.03753375095,15.0046161325602,38.1103205197457
"26",2,1,1,1,3,78.571146926133,0.000161984632364908,3.88513298287692,0.710994761136249,-0.148133599295551,"A",4.36400454458829,1.35715721306053,0.0127273183493189,0.257391446935622,6173.42512928798,15.0942582946381,38.1706844420993
"27",2,1,1,1,1,87.8976745729309,0.00012943306307079,1.76732860998933,0.742098605488444,-0.129538384513011,"A",4.47617334897066,0.569469146612729,0.0113768652567739,0.565825729492399,7726.00119532886,3.12345041568682,35.2726223397644
"28",2,1,1,1,3,77.6458711742507,0.000165868251258088,3.77698878459237,0.835396189730247,-0.0781075098979291,"A",4.35215837592409,1.32892707433019,0.0128789848690837,0.264761178026088,6028.88131040834,14.2656442789365,37.7382663374226
"29",2,1,1,2,3,100.57219138534,9.88653649162054e-05,0.875737908146802,0.842609922985964,-0.0743734307151374,"A",4.61087579187138,-0.132688424425726,0.00994310640173409,1.14189415657038,10114.7656800495,0.766916883765337,35.8176667572278
"30",1,2,1,3,2,77.2143315922078,0.000167727458890084,3.78019130161254,0.908554472944139,-0.0416490291816547,"A",4.34658508218743,1.32977461724312,0.0129509636278574,0.26453687663199,5962.05300323142,14.2898462767871,37.7258441404871
"31",3,1,1,1,3,77.2143315922078,0.000167727458890084,3.78019130161254,0.908554472944139,-0.0416490291816547,"A",4.34658508218743,1.32977461724312,0.0129509636278574,0.26453687663199,5962.05300323142,14.2898462767871,37.7258441404871
"32",2,1,1,2,2,92.8531086468189,0.000115986409280448,1.58900956372684,0.988795220065292,-0.00489364167302344,"A",4.53101876754864,0.463110906244358,0.0107696986624719,0.629322832805748,8621.69978537795,2.52495139361536,35.2553124635732
"33",4,1,1,1,2,84.3786932728863,0.000140454096101166,3.03388683175772,1.03146543835062,0.0134546805058938,"A",4.43531492035782,1.10984458021674,0.0118513330938408,0.329610185037995,7119.76387843983,9.20446930791289,35.9153112574667
"34",2,1,1,2,3,95.0034029520212,0.000110795386454733,2.12315885124412,1.07428189679003,0.0311182573005513,"A",4.55391271150659,0.752905003871132,0.0105259387445839,0.470996317309948,9025.64657246411,4.50780350761625,34.8857121154858
"35",2,1,1,1,1,81.519768262645,0.000150478386947571,2.93738824943898,1.09937065157308,0.0411441390059242,"A",4.4008455462049,1.07752083600246,0.0122669632325026,0.340438483129015,6645.47261759534,8.6282497279422,35.7573742543628
"36",2,1,1,3,2,77.6618175174038,0.000165800142615038,2.34211091411294,1.10170776533926,0.0420664105487082,"A",4.35236372755019,0.851052622770166,0.0128763404201286,0.426965261966999,6031.35790010653,5.48548353400695,35.1000586157978
