"","Comment","Age","...3","Sex","Trap length (m)","Start time","Finish Time","Time (s)","(Mean Speed m/s)","(Mean Speed m/min)","Pedestrian Density (Peds/m2)","Pedestrian Density (Peds/m2) b","Pedestrian Flow (peds/m/s)","Pedestrian Flow (peds/m/min)"
"41",NA,"Adult",166,"M",4.2,40.422,43.423,3.001,1.39953348883705,83.9720093302231,3,0.238095238095238,33,44
"42",NA,"Adult",137,"F",4.2,3.277,7.524,4.247,0.988933364728043,59.3360018836826,6,0.476190476190476,31,41.3333333333333
"43",NA,"Adult",212,"M",4.2,46.436,49.461,3.025,1.38842975206612,83.305785123967,3,0.238095238095238,34,45.3333333333333
"44",NA,"Adult",145,"M",4.2,22.398,25.891,3.493,1.20240480961924,72.1442885771543,4,0.317460317460317,31,41.3333333333333
"45",NA,"Adult",335,"M",4.2,8.978,12.476,3.498,1.20068610634648,72.041166380789,4,0.317460317460317,20,26.6666666666667
"46",NA,"Adult",165,"M",4.2,37.672,40.177,2.505,1.67664670658682,100.598802395209,1,0.0793650793650794,33,44
"47",NA,"Adult",58,"M",4.2,55.054,57.985,2.931,1.43295803480041,85.9774820880246,3,0.238095238095238,28,37.3333333333333
"48",NA,"Adult",348,"M",4.2,15.661,18.662,3.001,1.39953348883705,83.9720093302233,3,0.238095238095238,20,26.6666666666667
"49",NA,"Adult",336,"M",4.2,17.227,20.501,3.274,1.28283445326817,76.9700671960904,4,0.317460317460317,20,26.6666666666667
"50",NA,"Adult",13,"F",4.2,54.077,57.329,3.252,1.29151291512915,77.490774907749,4,0.317460317460317,22,29.3333333333333
"51",NA,"Adult",224,"F",4.2,21.162,23.908,2.746,1.52949745083758,91.7698470502548,2,0.158730158730159,34,45.3333333333333
"52",NA,"Adult",67,"M",4.2,21.443,24.444,3.001,1.39953348883706,83.9720093302233,3,0.238095238095238,30,40
"53",NA,"Adult",74,"F",4.2,49.793,53.042,3.249,1.2927054478301,77.562326869806,4,0.317460317460317,30,40
"54",NA,"Adult",56,"M",4.2,51.699,55.253,3.554,1.18176702307259,70.9060213843556,4,0.317460317460317,28,37.3333333333333
"55",NA,"Adult",91,"M",4.2,46.014,49.515,3.501,1.19965724078835,71.9794344473008,4,0.317460317460317,36,48
"56",NA,"Adult",116,"M",4.2,37.84,40.84,3,1.4,84,3,0.238095238095238,40,53.3333333333333
"57",NA,"Adult",34,"M",4.2,2.147,5.648,3.501,1.19965724078835,71.9794344473008,4,0.317460317460317,22,29.3333333333333
"58",NA,"Adult",163,"F",4.2,26.513,29.765,3.252,1.29151291512915,77.4907749077491,4,0.317460317460317,33,44
"59",NA,"Adult",109,"M",4.2,7.027,10.522,3.495,1.20171673819742,72.1030042918455,4,0.317460317460317,36,48
"60",NA,"Adult",215,"F",4.2,54.825,59.107,4.282,0.98085007006072,58.8510042036432,6,0.476190476190476,34,45.3333333333333
"61",NA,"Adult",55,"F",4.2,50.92,54.688,3.768,1.11464968152866,66.8789808917197,5,0.396825396825397,28,37.3333333333333
"62",NA,"Adult",235,"M",4.2,16.778,20.027,3.249,1.2927054478301,77.562326869806,4,0.317460317460317,37,49.3333333333333
"63",NA,"Adult",256,"F",4.2,56.019,59.02,3.001,1.39953348883705,83.9720093302231,3,0.238095238095238,37,49.3333333333333
"64",NA,"Adult",23,"F",4.2,33.937,37.183,3.246,1.29390018484288,77.634011090573,4,0.317460317460317,22,29.3333333333333
"65",NA,"Adult",154,"M",4.2,59.378,61.876,2.498,1.68134507606085,100.880704563651,1,0.0793650793650794,31,41.3333333333333
"66",NA,"Adult",230,"M",4.2,50.882,53.746,2.864,1.46648044692737,87.9888268156423,3,0.238095238095238,34,45.3333333333333
"67",NA,"Adult",46,"M",4.2,58.917,61.944,3.027,1.38751238850347,83.2507433102081,3,0.238095238095238,28,37.3333333333333
"68",NA,"Adult",253,"M",4.2,37.84,40.838,2.998,1.40093395597065,84.0560373582389,3,0.238095238095238,37,49.3333333333333
