Walk_Speed,Sex,Walkway_width_category
91.63636364,Female,Bombo
91.63636364,Female,Bombo
91.63636364,Female,Bombo
91.63636364,Female,Bombo
91.56976744,Female,Bombo
91.56976744,Female,Bombo
91.23823316,Female,Bombo
90.97472924,Female,Bombo
84.16833667,Female,Bombo
84.08408408,Female,Bombo
84.05603736,Female,Bombo
84.05603736,Female,Bombo
84.02800934,Female,Bombo
84.02800934,Female,Bombo
84.02800934,Female,Bombo
84.02800934,Female,Bombo
84,Female,Bombo
84,Female,Bombo
84,Female,Bombo
83.97200933,Female,Bombo
83.97200933,Female,Bombo
83.97200933,Female,Bombo
83.97200933,Female,Bombo
83.97200933,Female,Bombo
83.94403731,Female,Bombo
83.94403731,Female,Bombo
83.94403731,Female,Bombo
83.91608392,Female,Bombo
83.91608392,Female,Bombo
83.86023295,Female,Bombo
83.41608739,Female,Bombo
80.95085127,Female,Bombo
80.45977011,Female,Bombo
77.63401109,Female,Bombo
77.63401109,Female,Bombo
77.61010163,Female,Bombo
77.5862069,Female,Bombo
77.5862069,Female,Bombo
77.56232687,Female,Bombo
77.56232687,Female,Bombo
77.53846154,Female,Bombo
77.53846154,Female,Bombo
77.53846154,Female,Bombo
77.51461089,Female,Bombo
77.51461089,Female,Bombo
77.51461089,Female,Bombo
77.49077491,Female,Bombo
77.49077491,Female,Bombo
77.49077491,Female,Bombo
77.46695358,Female,Bombo
77.46695358,Female,Bombo
77.4431469,Female,Bombo
77.4431469,Female,Bombo
77.3955774,Female,Bombo
77.3480663,Female,Bombo
77.13498623,Female,Bombo
77.06422018,Female,Bombo
77.06422018,Female,Bombo
76.99358387,Female,Bombo
76.57247037,Female,Bombo
76.1789601,Female,Bombo
72.66435986,Female,Bombo
72.12364053,Female,Bombo
72.12364053,Female,Bombo
72.06176723,Female,Bombo
72.04116638,Female,Bombo
72.04116638,Female,Bombo
72.02057731,Female,Bombo
72.02057731,Female,Bombo
72.02057731,Female,Bombo
72.02057731,Female,Bombo
72,Female,Bombo
72,Female,Bombo
72,Female,Bombo
71.97943445,Female,Bombo
71.97943445,Female,Bombo
71.97943445,Female,Bombo
71.95888064,Female,Bombo
71.95888064,Female,Bombo
71.95888064,Female,Bombo
71.95888064,Female,Bombo
71.93833857,Female,Bombo
71.91780822,Female,Bombo
71.87678266,Female,Bombo
71.85628743,Female,Bombo
71.59090909,Female,Bombo
71.57057654,Female,Bombo
71.55025554,Female,Bombo
71.55025554,Female,Bombo
71.52994607,Female,Bombo
71.4893617,Female,Bombo
71.4893617,Female,Bombo
67.30769231,Female,Bombo
67.27175654,Female,Bombo
67.25380304,Female,Bombo
67.23585912,Female,Bombo
67.21792478,Female,Bombo
67.21792478,Female,Bombo
67.2,Female,Bombo
67.2,Female,Bombo
67.2,Female,Bombo
67.18208478,Female,Bombo
67.18208478,Female,Bombo
67.1641791,Female,Bombo
67.1641791,Female,Bombo
67.1641791,Female,Bombo
67.14628297,Female,Bombo
67.14628297,Female,Bombo
67.03910615,Female,Bombo
67.0212766,Female,Bombo
66.87898089,Female,Bombo
66.77265501,Female,Bombo
66.73728814,Female,Bombo
66.47322606,Female,Bombo
65.67630962,Female,Bombo
64.93171863,Female,Bombo
63.03151576,Female,Bombo
63.01575394,Female,Bombo
63,Female,Bombo
63,Female,Bombo
62.98425394,Female,Bombo
62.96851574,Female,Bombo
62.95278541,Female,Bombo
62.92134831,Female,Bombo
62.65539533,Female,Bombo
59.33600188,Female,Bombo
59.33600188,Female,Bombo
59.3220339,Female,Bombo
59.3220339,Female,Bombo
59.3220339,Female,Bombo
59.30807249,Female,Bombo
59.29411765,Female,Bombo
59.29411765,Female,Bombo
59.29411765,Female,Bombo
59.29411765,Female,Bombo
59.29411765,Female,Bombo
59.26622766,Female,Bombo
59.2522925,Female,Bombo
59.09943715,Female,Bombo
58.8510042,Female,Bombo
56.06229143,Female,Bombo
55.93784684,Female,Bombo
55.71523325,Female,Bombo
53.08615968,Female,Bombo
114.2284569,Male,Entebbe
114.1712569,Male,Entebbe
114.0570285,Male,Entebbe
114.0570285,Male,Entebbe
113.9430285,Male,Entebbe
113.8861139,Male,Entebbe
113.8292561,Male,Entebbe
111.4369501,Male,Entebbe
108.4165478,Male,Entebbe
108.365019,Male,Entebbe
106.2937063,Male,Entebbe
104.5392022,Male,Entebbe
102.2880215,Male,Entebbe
101.5138023,Male,Entebbe
101.5138023,Male,Entebbe
101.4686248,Male,Entebbe
101.4234875,Male,Entebbe
101.4234875,Male,Entebbe
101.4234875,Male,Entebbe
101.3783904,Male,Entebbe
101.3783904,Male,Entebbe
101.3783904,Male,Entebbe
101.3783904,Male,Entebbe
101.3333333,Male,Entebbe
101.3333333,Male,Entebbe
101.3333333,Male,Entebbe
101.2433393,Male,Entebbe
101.1984021,Male,Entebbe
101.0638298,Male,Entebbe
101.0638298,Male,Entebbe
100.9743136,Male,Entebbe
100.8849558,Male,Entebbe
100.1317523,Male,Entebbe
98.10671256,Male,Entebbe
96.73313534,Male,Entebbe
96.32446134,Male,Entebbe
96.20253165,Male,Entebbe
96,Male,Entebbe
94.88139825,Male,Entebbe
93.40434248,Male,Entebbe
93.25153374,Male,Entebbe
91.67671894,Male,Entebbe
91.56626506,Male,Entebbe
91.45607702,Male,Entebbe
91.45607702,Male,Entebbe
91.45607702,Male,Entebbe
91.34615385,Male,Entebbe
91.30957149,Male,Entebbe
91.30957149,Male,Entebbe
91.30957149,Male,Entebbe
91.27301841,Male,Entebbe
91.27301841,Male,Entebbe
91.2364946,Male,Entebbe
91.2364946,Male,Entebbe
91.2,Male,Entebbe
91.2,Male,Entebbe
91.2,Male,Entebbe
91.2,Male,Entebbe
91.2,Male,Entebbe
91.16353459,Male,Entebbe
91.16353459,Male,Entebbe
91.16353459,Male,Entebbe
91.12709832,Male,Entebbe
91.09069117,Male,Entebbe
91.09069117,Male,Entebbe
91.09069117,Male,Entebbe
91.09069117,Male,Entebbe
91.09069117,Male,Entebbe
91.0543131,Male,Entebbe
91.0543131,Male,Entebbe
91.01796407,Male,Entebbe
90.98164405,Male,Entebbe
90.94535301,Male,Entebbe
90.90909091,Male,Entebbe
90.87285771,Male,Entebbe
90.72821329,Male,Entebbe
90.18987342,Male,Entebbe
89.55223881,Male,Entebbe
89.23679061,Male,Entebbe
89.13213448,Male,Entebbe
87.96296296,Male,Entebbe
86.72499049,Male,Entebbe
86.65906499,Male,Entebbe
85.94044478,Male,Entebbe
84.97950056,Male,Entebbe
84.22608053,Male,Entebbe
83.15098468,Male,Entebbe
83.1206708,Male,Entebbe
83.09037901,Male,Entebbe
83.06010929,Male,Entebbe
83.02986162,Male,Entebbe
83.02986162,Male,Entebbe
82.96943231,Male,Entebbe
82.96943231,Male,Entebbe
82.96943231,Male,Entebbe
82.93925064,Male,Entebbe
82.93925064,Male,Entebbe
82.93925064,Male,Entebbe
82.93925064,Male,Entebbe
82.93925064,Male,Entebbe
82.93925064,Male,Entebbe
82.93925064,Male,Entebbe
82.90909091,Male,Entebbe
82.90909091,Male,Entebbe
82.90909091,Male,Entebbe
82.90909091,Male,Entebbe
82.87895311,Male,Entebbe
82.87895311,Male,Entebbe
82.87895311,Male,Entebbe
82.87895311,Male,Entebbe
82.87895311,Male,Entebbe
82.87895311,Male,Entebbe
82.84883721,Male,Entebbe
82.84883721,Male,Entebbe
82.84883721,Male,Entebbe
82.84883721,Male,Entebbe
82.84883721,Male,Entebbe
82.81874319,Male,Entebbe
82.81874319,Male,Entebbe
82.81874319,Male,Entebbe
82.78867102,Male,Entebbe
82.78867102,Male,Entebbe
82.78867102,Male,Entebbe
82.78867102,Male,Entebbe
82.78867102,Male,Entebbe
82.75862069,Male,Entebbe
82.75862069,Male,Entebbe
82.72859216,Male,Entebbe
82.66860044,Male,Entebbe
82.42950108,Male,Entebbe
82.22142084,Male,Entebbe
82.10298884,Male,Entebbe
78.92004154,Male,Entebbe
78.92004154,Male,Entebbe
78.05546046,Male,Entebbe
77.92207792,Male,Entebbe
76.58716829,Male,Entebbe
76.2796922,Male,Entebbe
76.2541806,Male,Entebbe
76.20320856,Male,Entebbe
76.17774808,Male,Entebbe
76.15230461,Male,Entebbe
76.12687813,Male,Entebbe
76.12687813,Male,Entebbe
76.10146862,Male,Entebbe
76.10146862,Male,Entebbe
76.07607608,Male,Entebbe
76.07607608,Male,Entebbe
76.07607608,Male,Entebbe
76.07607608,Male,Entebbe
76.05070047,Male,Entebbe
76.05070047,Male,Entebbe
76.02534178,Male,Entebbe
76,Male,Entebbe
76,Male,Entebbe
76,Male,Entebbe
76,Male,Entebbe
76,Male,Entebbe
76,Male,Entebbe
75.97467511,Male,Entebbe
75.97467511,Male,Entebbe
75.97467511,Male,Entebbe
75.94936709,Male,Entebbe
75.92407592,Male,Entebbe
75.92407592,Male,Entebbe
75.92407592,Male,Entebbe
75.92407592,Male,Entebbe
75.8988016,Male,Entebbe
75.8988016,Male,Entebbe
75.84830339,Male,Entebbe
75.72235138,Male,Entebbe
75.67208762,Male,Entebbe
75.37190083,Male,Entebbe
75.32210109,Male,Entebbe
75.32210109,Male,Entebbe
75.22269878,Male,Entebbe
74.53416149,Male,Entebbe
74.36399217,Male,Entebbe
71.95571956,Male,Entebbe
71.74323474,Male,Entebbe
71.13884555,Male,Entebbe
70.63197026,Male,Entebbe
70.34865782,Male,Entebbe
70.28360049,Male,Entebbe
70.26194145,Male,Entebbe
70.26194145,Male,Entebbe
70.26194145,Male,Entebbe
70.26194145,Male,Entebbe
70.24029575,Male,Entebbe
70.24029575,Male,Entebbe
70.21866338,Male,Entebbe
70.21866338,Male,Entebbe
70.19704433,Male,Entebbe
70.19704433,Male,Entebbe
70.19704433,Male,Entebbe
70.1754386,Male,Entebbe
70.1754386,Male,Entebbe
70.1754386,Male,Entebbe
70.1754386,Male,Entebbe
70.13226699,Male,Entebbe
70.13226699,Male,Entebbe
70.13226699,Male,Entebbe
70.13226699,Male,Entebbe
70.13226699,Male,Entebbe
70.11070111,Male,Entebbe
70.0676091,Male,Entebbe
70.0676091,Male,Entebbe
70.00307031,Male,Entebbe
69.72477064,Male,Entebbe
69.5970696,Male,Entebbe
69.57583155,Male,Entebbe
69.53339433,Male,Entebbe
68.73681037,Male,Entebbe
66.88178351,Male,Entebbe
65.27340395,Male,Entebbe
65.25472238,Male,Entebbe
65.2173913,Male,Entebbe
65.19874178,Male,Entebbe
65.18010292,Male,Entebbe
65.16147471,Male,Entebbe
65.14285714,Male,Entebbe
65.14285714,Male,Entebbe
65.12425021,Male,Entebbe
65.10565391,Male,Entebbe
65.08706823,Male,Entebbe
65.08706823,Male,Entebbe
65.08706823,Male,Entebbe
65.06849315,Male,Entebbe
65.04992867,Male,Entebbe
64.82797839,Male,Entebbe
64.55266138,Male,Entebbe
64.53439004,Male,Entebbe
64.42497881,Male,Entebbe
60.8974359,Male,Entebbe
60.65442937,Male,Entebbe
